perc_identity	mean_occupancy	min_occupancy	max_occupancy	gg2_mapped_percent	unmapped_percent	n_features	n_samples
0.8	1.765455988885581	1	179	99.9858077157623	0.014192284237690584	20154	139
0.81	1.764422599543243	1	178	99.96455663752218	0.035443362477811484	20142	139
0.82	1.7633633334990801	1	179	99.8948874611617	0.10511253883830626	20111	139
0.83	1.7608706480051801	1	180	99.80792610690106	0.19207389309893458	20077	139
0.84	1.756030564850422	1	180	99.4564579225663	0.5435420774337004	20023	139
0.85	1.7517826654614843	1	179	99.09527175834036	0.9047282416596427	19914	139
0.86	1.743955488113303	1	177	98.35875943301376	1.641240566986237	19770	139
0.87	1.7321838494108044	1	178	97.19815924579513	2.8018407542048753	19603	139
0.88	1.7142193068539848	1	175	94.81532700964985	5.184672990350143	19361	139
0.89	1.6882213438735179	1	178	91.6074674122745	8.392532587725498	18975	139
0.9	1.65528789024522	1	172	87.06639210323378	12.933607896766222	18514	139
0.91	1.610640668523677	1	135	81.84807592961702	18.151924070382975	17950	139
0.92	1.5641129733805021	1	78	78.1109412352785	21.889058764721504	17243	139
0.93	1.5059585650553078	1	73	72.22288369886184	27.77711630113816	16363	139
0.94	1.4447774809409004	1	62	64.29538744786576	35.704612552134236	15347	139
0.95	1.3757507242280789	1	53	56.513810287703	43.486189712297005	14153	139
0.96	1.2858161648177495	1	18	48.585888268179794	51.41411173182021	12620	139
0.97	1.1697895647160566	1	9	37.768170680294446	62.231829319705554	10407	139
0.98	1.0816871329418045	1	6	26.7091245033821	73.2908754966179	7492	139
0.99	1.0336436732966567	1	4	20.774068097268835	79.22593190273116	4726	139
