"dataset","var","type","units","description","source_column","table_source"
"ocean","latitude","geographic","deg","Mean latitude","Mean_Lat*","Table W8"
"ocean","longitude","geographic","deg","Mean longitude","Mean_Long*","Table W8"
"ocean","depth","measured","m","Mean depth","Mean_Depth [m]*","Table W8"
"ocean","temperature","measured","degC","Mean temperature","Mean_Temperature [deg C]*","Table W8"
"ocean","salinity","measured","PSU","Mean salinity","Mean_Salinity [PSU]*","Table W8"
"ocean","oxygen","measured","umol/kg","Mean oxygen","Mean_Oxygen [umol/kg]*","Table W8"
"ocean","no2","measured","umol/L","NO2","NO2 [umol/L]**","Table W8"
"ocean","po4","measured","umol/L","PO4","PO4 [umol/L]**","Table W8"
"ocean","no2no3","measured","umol/L","NO2 + NO3","NO2NO3 [umol/L]**","Table W8"
"ocean","si","measured","umol/L","Silica","SI [umol/L]**","Table W8"
"ocean","pH","calculated","","pH median; calculated quantity (median) from measured values","pH (median)","CARB"
"ocean","co2","calculated","","Carbon dioxide median; calculated quantity (median) from measured values","Carbon dioxide (median)","CARB"
"ocean","co2_pp","calculated","","CO2 partial pressure median; calculated quantity (median) from measured values","Carbon dioxide, partial pressure (median)","CARB"
"ocean","co2_f","calculated","","Fugacity CO2 seawater median; calculated quantity (median) from measured values","Fugacity of carbon dioxide in seawater (median)","CARB"
"ocean","hco3","calculated","","Bicarbonate ion median; calculated quantity (median) from measured values","Bicarbonate ion (median)","CARB"
"ocean","co3","calculated","","Carbonate ion median; calculated quantity (median) from measured values","Carbonate ion (median)","CARB"
"ocean","carbon_total","calculated","","Total carbon median; calculated quantity (median) from measured values","Carbon, total (median)","CARB"
"ocean","alkalinity_total","calculated","","Total alkalinity median; calculated quantity (median) from measured values","Alkalinity, total (median)","CARB"
"ocean","calcite_saturation_state","calculated","","Calcite saturation state median; calculated quantity (median) from measured values","Calcite saturation state (median)","CARB"
"ocean","aragonite_saturation_state","calculated","","Aragonite saturation state median; calculated quantity (median) from measured values","Aragonite saturation state (median)","CARB"
