"sample_id","ph","soil_c","soil_n","soil_p","clay_silt"
"1",5.9,1.771,0.248,559.298,82
"2",5.12,3.217,0.156,911.506,80
"4",8.13,5.931,0.585,763.273,35.8
"8",5.81,4.374,0.223,434.225,6.2
"10",7.42,2.75,0.223,715.831,34.8
"11",4.63,5.308,0.31,530.809,36.2
"12",5,3.729,0.481,705.448,20.6
"14",6.31,1.642,0.342,695.064,61.8
"15",5.56,2.087,0.127,644.132,76
"16",5.84,1.953,0.179,511.743,40.8
"17",5.21,4.89,0.442,731.496,38
"18",5.13,3.9,0.382,473.79,73.4
"19",7.13,2.966,0.312,495.541,81.6
"20",4.87,0.897,0.065,373.178,29
"21",4.86,0.607,0.06,318.485,8.6
"22",5.8,0.83,0.052,488.112,76.2
"23",4.97,5.335,0.385,259.228,76
"24",5.37,4.979,0.074,560.438,43
"25",5.2,5.001,0.336,347.846,50
"26",4.9,1.475,0.111,75.101,16.5
"27",5.1,1.397,0.081,138.207,20
"29",5.6,5.958,0.322,423.573,82.4
"30",5.4,1.608,0.13,426.527,71
"31",6.6,1.675,0.099,291.632,39.5
"32",5.4,3.132,0.426,670.538,42.45
"33",5.6,3.344,0.242,446.667,92
"34",5.8,5.524,0.374,1007.284,64.7
"37",5.6,1.041,0.066,265.494,12
"38",7.5,4.189,0.27,585.501,80.2
"39",6.5,3.889,0.26,743.849,75.7
"40",7.6,3.177,0.22,354.559,67.7
"41",7.2,4.423,0.25,476.564,63.5
"42",6.1,5.001,0.35,879.281,80.1
"43",6.7,6.392,0.44,805.791,76.2
"44",6.3,5.301,0.33,540.566,38.3
"45",7.1,4.979,0.42,822.978,57.2
"46",6.4,4.423,0.4,704.374,61.3
"48",7.1,5.02,0.43,603.716,25.1
"49",6.37,0.952,0.45,354.38,78
"50",4.36,2.12,0.189,258.333,28.9
"51",4.51,2.165,0.189,174.818,42.8
"52",5,4.679,0.371,195.316,57
"53",4.12,5.691,0.286,522.842,65
"54",5.88,5.657,0.584,911.774,65
"55",7,8.349,0.467,1190.427,50
"57",4.9,9.295,0.371,316.182,25
"58",4.9,3.299,0.098,203.294,25
"59",5.9,2.643,0.129,646.087,25
"60",7.1,2.61,0.402,875.475,20
"62",5,2.242,0.121,264.132,50
"63",5.9,4.556,0.313,826.644,50
"64",5.5,7.37,0.246,618.505,50
"65",8.31,2.131,0.129,303.247,22
"66",6.7,5.079,0.568,723.73,42
"67",4.58,2.61,0.178,702.757,57
"68",5.36,2.454,0.242,371.129,57.9
"69",7.92,3.798,0.246,369.663,37.768
"70",7.36,5.557,0.166,638.981,45.42
"71",7.37,2.272,0.145,478.88,42.297
"72",6.02,8.071,0.125,451.59,41.691
"73",6.77,6.425,0.309,555.633,39.695
"74",7.22,7.148,0.145,616.882,45.314
"75",7.09,3.393,0.219,397.755,38.314
"76",7.11,8.405,0.288,543.117,61.958
"77",7.16,2.944,0.205,499.594,43.992
"78",8.23,5.835,0.175,667.091,38.358
"79",7.88,5.457,0.314,747.524,35.714
"80",6.98,9.751,0.415,940.107,27.548
"81",8.27,2.672,0.155,291.562,65.117
"82",9.21,1.943,0.186,394.13,47.162
"83",7.77,6.87,0.135,756.415,76
"84",8.04,3.967,0.144,512.201,79.2
"85",8.84,2.681,0.174,236.999,79.2
"86",8.33,2.962,0.136,448.766,51.657
"87",7.6,1.747,0.114,284.238,67.395
"88",6.53,2.187,0.117,246.618,77.635
"89",7.89,1.222,0.14,108.653,84.647
"90",7.89,2.512,0.112,277.625,76.71
"91",6.44,2.459,0.152,234.102,57.631
"92",6.47,3.398,0.115,333.719,74.457
"93",6.11,2.152,0.139,182.472,66.917
"94",6.33,1.653,0.106,100.582,62.737
"95",5.98,2.027,0.104,169.209,74.958
"96",5.76,1.898,0.159,180.286,73.102
"97",6.01,2.076,0.147,150.044,71.236
"98",6.02,1.836,0.092,206.866,85.524
"99",5.78,1.538,0.15,324.191,79.085
"100",5.89,2.534,0.094,246.727,77.428
"101",6.5,2.232,0.179,288.793,61.8
"102",5.86,3.193,0.172,276.259,27.6
"103",7.75,3.331,0.187,198.796,22.3
"104",7.36,2.743,0.115,112.478,37.1
"105",6,4.801,0.266,641.513,23.468
"106",6.06,3.967,0.266,459.278,39.947
"107",5.66,7.393,0.374,752.206,28.631
"108",5.84,6.392,0.399,856.25,24.906
"109",5.85,10.418,0.35,722.711,23.61
"110",7.05,7.137,0.316,754.447,20.612
"111",5.58,8.583,0.428,783.232,22.381
"112",6.48,6.091,0.299,853.335,24.476
"113",5.15,6.436,0.33,623.878,31.67
"114",5.31,8.661,0.348,841.548,20.62
"115",5.58,6.28,0.349,750.803,23.303
"116",6.77,4.234,0.202,508.066,33.464
"117",5.36,5.58,0.218,365.673,33.429
"118",7.05,6.67,0.262,636.467,31.274
"119",6.47,4.423,0.229,460.134,39.006
"120",6.14,2.32,0.358,381.195,89.9
"121",7.85,7.348,0.219,1015.002,76.2
"122",7.11,5.535,0.313,536.158,87.4
"123",5.68,6.18,0.404,868.929,70
"124",6.34,7.437,0.34,1274.008,70
"125",6.5,7.771,0.329,863.045,70
"126",6.86,7.882,0.395,837.23,70
"127",6.03,6.603,0.384,995.873,70
"149",4.74,4.679,0.257,1313.232,80
"151",5.18,4.356,0.188,1406.946,85
"165",7.62,2.943,0.442,1375.246,70
"172",6.759,0.697,0.057,987.911,9.504
"174",6.976,1.458,0.119,924.021,28.695
"175",6.832,0.914,0.078,882.865,26.361
"176",7.487,2.061,0.204,233.457,22.826
"177",6.78,1.124,0.073,178.518,21.496
"178",7.398,1.365,0.094,204.508,26.13
"179",7.082,1.021,0.1,189.702,13.704
"180",7.297,1.385,0.113,215.726,22.755
"181",6.818,1.951,0.132,315.811,41.887
"182",6.257,2.633,0.202,778.903,72.111
"183",7.758,0.317,0.039,253.5,28.888
"184",7.288,0.873,0.125,1051.895,24.523
"185",6.742,0.946,0.103,1035.068,15.083
"186",6.608,1.41,0.128,215.71,29.448
"187",6.627,2.651,0.305,691.922,38.157
"188",6.707,1.581,0.146,337.777,18.105
"189",6.672,2.699,0.259,737.783,31.941
"190",7.098,2.18,0.225,686.402,33.778
"191",7.118,2.034,0.188,640.654,34.219
"192",7.124,1.174,0.13,427.572,25
"193",7.427,2.691,0.191,1165.825,77.301
"194",7.752,1.432,0.119,986.384,74.833
"195",7.756,0.918,0.066,685.837,50.327
"196",8.024,1.795,0.177,463.779,51.164
"197",8.008,3.316,0.336,677.904,58.036
"198",8.312,2.027,0.215,603.83,51.875
"199",8.43,2.142,0.214,812.818,55.592
"200",8.412,2.296,0.235,971.796,72.949
"201",8.15,2.464,0.449,691.945,43.142
"202",8.024,2.201,0.256,563.99,35.88
"203",8.343,1.571,0.182,395.872,48.398
"204",6.954,1.934,0.241,227.693,33.815
"205",8.446,0.641,0.044,194.948,12.994
"206",8.134,2.523,0.24,612.576,36.965
"207",8.154,2.518,0.22,700.929,43.569
"208",8.326,1.239,0.155,499.732,43.557
"209",8.214,1.123,0.13,564.169,77.602
"210",8.31,2.38,0.242,703.166,41.576
"211",8.046,0.874,0.081,248.073,22.138
"212",8.46,0.831,0.073,236.019,62.519
"213",7.992,2.995,0.237,413.761,47.864
"214",8.1,2.794,0.232,445.097,40.815
"215",7.694,4.051,0.388,389.829,51.066
"216",8.024,3.055,0.311,342.744,45.577
"217",8.068,2.332,0.27,409.954,50.606
"218",7.562,2.484,0.231,281.793,47.598
"219",8.012,2.796,0.35,524.129,39.581
"220",8.106,3.619,0.345,326.411,40.629
"221",7.598,2.975,0.304,277.612,25.717
"222",8.248,2.792,0.28,534.057,34.594
"223",8.554,1.412,0.104,477.918,17.798
"224",8.102,3.715,0.269,420.103,39.528
"225",8.311,4.428,0.401,514.94,60.216
"226",8.217,2.996,0.187,333.031,50.778
"227",8.362,1.679,0.185,1118.847,56.613
"228",8.202,3.645,0.287,532.57,47.413
"229",8.176,3.375,0.135,253.332,47.583
"230",8.279,4.29,0.335,438,47.706
"231",8.366,2.031,0.14,201.896,46.7
"232",8.434,1.54,0.154,209.924,26.3
"233",8.352,1.131,0.108,359.456,39.68
"234",8.308,2.43,0.201,412.685,44.417
"235",8.37,0.81,0.072,281.085,29.381
"236",8.556,1.243,0.117,234.606,43.336
"237",8.344,1.715,0.163,469.6,44.959
"238",8.68,0.147,0.02,85.303,13.605
"239",8.268,1.532,0.112,210.039,22.379
"240",8.686,0.929,0.09,230.138,18.867
"241",7.982,1.54,0.169,463.455,43.799
"242",7.684,0.29,0.062,76.397,1.4
"243",8.09,1.059,0.067,334.4,16.979
"244",7.638,2.424,0.2,263.243,32.262
"245",8.672,0.412,0.052,201.073,11.791
"246",8.306,0.233,0.02,147.2,9.933
"247",8.176,0.736,0.085,591.413,22.845
"248",8.656,0.313,0.078,441.578,9.933
"249",6.994,3.945,0.448,1074.655,59.628
"250",6.74,3.196,0.202,318.338,30
"251",8.47,4.163,0.442,600.575,35
"252",8.93,4.932,0.123,272.359,44
"253",6.44,2.418,0.106,218.363,41
"255",7.07,9.657,0.243,209.738,30
"256",5.52,4.865,0.254,175.641,32
"257",5.465,3.456,0.24,227.958,35
"258",5.63,8.447,0.269,576.724,39
"259",5.12,3.873,0.184,186.683,33
"260",6.18,2.449,0.134,118.874,34
"261",7.24,7.316,0.421,454.321,39
"262",8.1,9.079,0.454,385.054,38
"263",7.35,4.745,0.331,282.991,37
"264",8.48,8.818,0.474,446.994,33
"265",5.93,2.882,0.091,86.081,29
"266",6.36,3.029,0.277,394.7,37
"267",8.9,2.531,0.222,263.626,32
"268",6,5.472,0.478,390.072,39
"270",7.334,1.08,0.044,189.728,33
"271",9,1.547,0.085,143.822,32
"274",4.17,6.008,0.352,584.4627884,60
"275",4.75,0.82,0.112,666.6351033,59
