fold,cd,angle
1,1,0.9178172370407129
1,2,1.4208419877475287
1,3,1.354757646944928
1,4,1.541968190295937
2,1,0.9041724897545707
2,2,1.3086777491243387
2,3,1.4710391742661224
2,4,1.5084081935610427
3,1,0.8947612133082958
3,2,1.3835667480776588
3,3,1.385761338592056
3,4,1.5554258674505
4,1,0.8992474578262624
4,2,1.3729330896039453
4,3,1.428267573739128
4,4,1.551233791183353
5,1,0.9229954911550027
5,2,1.401583219010148
5,3,1.393849958223782
5,4,1.5477732429847026
6,1,0.8785401484966882
6,2,1.4454408996111747
6,3,1.4302013162442824
6,4,1.545920874918871
7,1,0.9167338527649207
7,2,1.3648032193522048
7,3,1.371578092665671
7,4,1.5321626464744733
8,1,0.9343450337171042
8,2,1.3340130193714732
8,3,1.4885462273715055
8,4,1.5251352620393717
9,1,0.8843654727895016
9,2,1.418801158723632
9,3,1.4071923083347337
9,4,1.546063661835548
10,1,0.9457362725435918
10,2,1.5111401506168878
10,3,1.3086185729418247
10,4,1.525938592238149
11,1,0.9509011266614337
11,2,1.4041802071961063
11,3,1.3769239081647275
11,4,1.5299076539938425
12,1,0.8973689150045355
12,2,1.3562272958114419
12,3,1.452947833311593
12,4,1.534025706047131
13,1,0.9531578031041358
13,2,1.346309852551994
13,3,1.4499951872611112
13,4,1.5271063593964251
14,1,0.9081252736446894
14,2,1.3306250627575473
14,3,1.568430971829352
14,4,1.525311376638759
15,1,0.909346101138147
15,2,1.3777413745583924
15,3,1.4481775932675192
15,4,1.5251455473185216
